clause_id,source_doc,domain,raw_text,clean_text,word_count,token_count,pattern_label,risk_label,risk_score,modal_score,consequence_score,conditional_score,has_negation,obligation_count,penalty_flag
C00011,BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT_AGREEM,legal,"If Cargill waives its option, Bioamber shall have the option to prepare, file, prosecute, and maintain patent applications and issued patents on Bioamber Improvements and Joint Improvements",cargill waive option bioamber shall option prepare file prosecute maintain patent application issue patent bioamber improvement joint improvement,27,18,spacy_sentence,Low,0.0338,0.9,0.0,0.0,0,1,0
C00012,AIRTECHINTERNATIONALGROUPINC_05_08_2000-EX-10.4-FR,legal,"I. Maintain adequate working capital to operate the Franchise in accordance with the AIRSOPURE Operations Manual, as such may be amended by AIRSOPURE from time to time",maintain adequate work capital operate franchise accordance airsopure operation manual may amend airsopure time time,27,15,paragraph,Low,0.0112,0.3,0.0,0.0,0,0,0
C00013,AimmuneTherapeuticsInc_20200205_8-K_EX-10.3_119671,legal,"For purposes of this Section 1.2, ""person"" means mean an individual, corporation, partnership, limited partnership, limited liability company, limited liability partnership, syndicate, person (including a ""person"" as defined in Section 13(d)(3) of the Securities Exchange Act of 1934, as amended, together with the rules and regulations promulgated thereunder), trust, association, entity or government or political subdivision, agency or instrumentality of a government",purpose section person mean mean individual corporation partnership limited partnership limited liability company limited liability partnership syndicate person include person define section 13 securities exchange act 1934 amend rule regulation promulgate thereunder trust association entity government political subdivision agency instrumentality government,62,41,spacy_sentence,High,0.6375,0.0,0.85,0.0,0,0,1
C00014,"Array_BioPharma_Inc._-_LICENSE,_DEVELOPMENT_AND_CO",legal,Marketing Approval shall not be deemed to include Pricing and Reimbursement Approval,marketing approval shall not deem include pricing reimbursement approval,12,9,spacy_sentence,High,0.5588,0.9,0.0,0.85,1,1,0
C00015,AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.3,legal,Judgment on the arbitrator's award may be entered in any court having jurisdiction,judgment arbitrator award may enter court have jurisdiction,13,8,spacy_sentence,Low,0.0112,0.3,0.0,0.0,0,0,0
C00016,scholarship_terms_policy,academic,"Non-Transferable Scholarships are personal to the recipient and cannot be transferred, deferred beyond one academic year, or converted to cash. Requests to transfer scholarship funds to another person will be refused",non transferable scholarship personal recipient not transfer defer academic year convert cash request transfer scholarship fund person will refuse,31,19,numbered_clause,Low,0.03,0.8,0.0,0.0,0,1,0
C00017,hr_performance_review_policy,hr,Annual Reviews All employees receive a formal performance review annually. Failure by managers to complete required performance reviews constitutes a management conduct issue subject to HR intervention,annual review employee receive formal performance review annually failure manager complete required performance review constitute management conduct issue subject hr intervention,27,21,numbered_clause,High,0.52,0.8,0.0,0.8,0,1,0
C00018,hr_performance_review_policy,hr,"Rating Process Performance ratings must be based on objective evidence. Discrimination, bias, or personal relationships must not influence ratings. Managers found to have manipulated ratings are subject to disciplinary action",rating process performance rating must base objective evidence discrimination bias personal relationship must not influence rating manager find manipulated rating subject disciplinary action,30,23,numbered_clause,Critical,0.7875,0.9,0.7,0.85,1,2,1
C00019,biometric_data_privacy_policy,privacy,"Prohibition on Sale or Profit Biometric data must not be sold, leased, traded, or otherwise profited from under any circumstances. Any commercial transaction involving biometric identifiers or information is a per se violation of BIPA and subjects the entity to significant statutory damages",prohibition sale profit biometric datum must not sell lease trade profit circumstance commercial transaction involve biometric identifier information se violation bipa subject entity significant statutory damage,43,26,legal_keyword_clause,Critical,1.0,0.9,0.85,1.0,1,1,1
C00020,ASPIRITYHOLDINGSLLC_05_07_2012-EX-10.6-OUTSOURCING,legal,"During the term of this Agreement, the Company hereby grants the Contractor a limited license to use the Company's logo, corporate colors, trademarks, trade names, fonts, and other aspects of corporate identity in advertisements and marketing materials related to the Notes and on the Contractor's website, subject to the Company's prior written approval of the specific use of these items in writing in each instance (which shall not be unreasonably withheld)",term agreement company grant contractor limited license use company logo corporate color trademark trade name font aspect corporate identity advertisement marketing material relate note contractor website subject company prior write approval specific use item writing instance shall not unreasonably withhold,71,40,spacy_sentence,Critical,0.7625,0.9,0.0,0.85,1,1,0
C00021,ALLIANCEBANCORPINCOFPENNSYLVANIA_10_18_2006-EX-1.2,legal,"The Company is not and, upon completion of the Reorganization and Additional Stock Issuance and the application of the net proceeds therefrom, will not be, required to be registered as an ""investment company"" as that term is defined under the Investment Company Act of 1940, as amended",company not completion reorganization additional stock issuance application net proceed therefrom will not required register investment company term define investment company act 1940 amend,47,24,spacy_sentence,High,0.625,0.8,0.85,0.0,0,2,1
C00022,ALLISONTRANSMISSIONHOLDINGSINC_12_15_2014-EX-99.1-,legal,The percentage thresholds set forth in clauses (e) and (f) above shall not be deemed unsatisfied to the extent a failure to maintain the specified ownership thresholds is the result of share issuances or similar Company actions that increase the number of outstanding shares of Common Stock,percentage threshold set forth clause shall not deem unsatisfied extent failure maintain specified ownership threshold result share issuance similar company action increase number outstanding share common stock,47,27,lettered_subclause,High,0.675,0.9,0.0,1.0,1,1,0
C00023,ATHENSBANCSHARESCORP_11_02_2009-EX-1.2-AGENCY_AGRE,legal,"Other than as permitted by the Conversion Regulations, the HOLA, the 1933 Act, the 1933 Act Regulations and the rules and regulations and the laws of any state in which the Shares are registered or qualified for sale or exempt from registration, the Company will not distribute any prospectus, offering circular or other offering material in connection with the offer and sale of the Shares",permit conversion regulation hola 1933 act 1933 act regulation rule regulation law state share register qualified sale exempt registration company will not distribute prospectus offer circular offering material connection offer sale share,65,32,lettered_subclause,Low,0.03,0.8,0.0,0.0,0,1,0
C00024,hr_drug_alcohol_policy,hr,Support The company encourages employees with substance misuse issues to seek support. Self-referral to the employee assistance programme will be treated confidentially and will not automatically trigger disciplinary action,support company encourage employee substance misuse issue seek support self referral employee assistance programme will treat confidentially will not automatically trigger disciplinary action,29,23,numbered_clause,High,0.6875,0.8,0.7,0.0,0,2,1
C00025,ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT_AGREE,legal,"If the parties cannot agree upon the panel of three arbitrators, then each party may pick an arbitrator and the two chosen arbitrators shall choose upon the three-arbitrator panel",party not agree panel arbitrator party may pick arbitrator choose arbitrator shall choose arbitrator panel,29,15,spacy_sentence,Medium,0.325,0.9,0.0,0.0,0,1,0
C00026,ANIXABIOSCIENCESINC_06_09_2020-EX-10.1-COLLABORATI,legal,Expiration or termination of this Agreement will not affect the rights and obligations of the Parties that accrued prior to the effective date of such expiration or termination,expiration termination agreement will not affect right obligation party accrue prior effective date expiration termination,28,15,spacy_sentence,Critical,0.875,0.8,1.0,0.0,0,1,1
C00027,"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATI",legal,"1.7 ""Applicable Law"" means federal, state, local, national and supra-national laws, statutes, rules and regulations, including any rules, regulations, regulatory guidelines or other requirements of Regulatory Authorities, major national securities exchanges or major securities listing organizations, that may be in effect from time to time during the Term and applicable to a particular activity or country hereunder",applicable law mean federal state local national supra national law statute rule regulation include rule regulation regulatory guideline requirement regulatory authority major national security exchange major security list organization may effect time time term applicable particular activity country hereunder,57,39,spacy_sentence,Low,0.0112,0.3,0.0,0.0,0,0,0
C00028,AURASYSTEMSINC_06_16_2010-EX-10.25-STRATEGIC_ALLIA,legal,"Title and risk of loss shall pass to Aura at the time the Products are tendered by Zanotti to the initial carrier and Aura alone shall be responsible for all freight, customs duties, insurance or other shipping costs",title risk loss shall pass aura time product tender zanotti initial carrier aura shall responsible freight custom duty insurance shipping cost,38,21,lettered_subclause,Low,0.0338,0.9,0.0,0.0,0,2,0
C00029,ASPIRITYHOLDINGSLLC_05_07_2012-EX-10.6-OUTSOURCING,legal,"For so long as the Contractor shall serve as the Registrar for the Notes, the Contractor shall perform, in accordance with the terms of the Indenture, all of the duties and obligations of the Registrar under the Indenture, including, without limitation, the obligation to maintain a book-entry registration and transfer system for the ownership of the Notes in accordance with the terms of the Indenture",long contractor shall serve registrar note contractor shall perform accordance term indenture duty obligation registrar indenture include without limitation obligation maintain book entry registration transfer system ownership note accordance term indenture,65,31,spacy_sentence,Medium,0.45,0.9,0.45,0.0,0,2,0
C00030,ASPIRITYHOLDINGSLLC_05_07_2012-EX-10.6-OUTSOURCING,legal,"(b) The Company will advise the Contractor, promptly after it shall receive notice or obtain knowledge thereof, of the issuance by the Commission of any stop order suspending the effectiveness of the Registration Statement, of the suspension of the qualification of the Notes for offering or sale in any jurisdiction, or of the initiation or receipt of any specific threat of any proceeding for any such purpose",company will advise contractor promptly shall receive notice obtain knowledge thereof issuance commission stop order suspend effectiveness registration statement suspension qualification note offering sale jurisdiction initiation receipt specific threat proceeding purpose,67,31,spacy_sentence,High,0.6,0.9,0.75,0.0,0,2,1
C00031,AudibleInc_20001113_10-Q_EX-10.32_2599586_EX-10.32,legal,"At the Closing, the Company Closing Payments due to ACSI pursuant to Section 5.2.1 [Annual Fees] hereof and the Shares Consideration (as defined in the Securities Purchase Agreement) due to the Company pursuant to Section 1.2 of",closing company closing payment acsi pursuant section annual fee hereof share consideration define security purchase agreement company pursuant section,37,19,spacy_sentence,Medium,0.425,0.0,0.85,0.0,0,0,1
C00032,ATHENSBANCSHARESCORP_11_02_2009-EX-1.2-AGENCY_AGRE,legal,"The Company has established and maintains ""disclosure controls and procedures"" (as defined in Rule 13a-15(e) under the 1934 Act) that are effective in ensuring that the information it will be required to disclose in the reports it files or submits under the 1934 Act is accumulated and communicated to the Company's management (including the Company's chief executive officer and chief financial officer) in a timely manner and recorded, processed, summarized and reported within the periods specified in the Commission's rules and forms",company establish maintain disclosure control procedure define rule 13a 15 1934 act effective ensure information will required disclose report file submit 1934 act accumulate communicate company management include company chief executive officer chief financial officer timely manner record process summarize report period specify commission rule form,82,46,spacy_sentence,High,0.625,0.8,0.85,0.0,0,2,1
C00033,anu_academic_integrity,academic,""",""rangelength"":""Please enter a value between {0} and {1} characters long",rangelength enter value character long,10,5,spacy_sentence,Low,0.0,0.0,0.0,0.0,0,0,0
C00034,ABILITYINC_06_15_2020-EX-4.25-SERVICES_AGREEMENT,legal,"Any reference to any law shall be deemed also to refer to all rules and regulations promulgated thereunder, unless the context requires otherwise",reference law shall deem refer rule regulation promulgate thereunder unless context require,23,12,spacy_sentence,Medium,0.35,0.9,0.0,0.5,0,1,0
C00035,"BELLRINGBRANDS,INC_02_07_2020-EX-10.18-MASTER_SUPP",legal,"1.5 Supplier represents and warrants that at the time and date of delivery, the Ingredients will comply with all specifications (""Specifications""), a copy of which will be attached to the relevant Master Purchase Commitment or Purchase Order accordingly",supplier represent warrant time date delivery ingredient will comply specification specification copy will attach relevant master purchase commitment purchase order accordingly,38,21,spacy_sentence,Medium,0.4,0.8,0.4,0.0,0,2,0
C00036,AtnInternationalInc_20191108_10-Q_EX-10.1_11878541,legal,"discretion, to (x) immediately terminate the Maintenance Addendum without further liability or obligation (other than payment of Maintenance Fees for Maintenance Services performed prior to the date of such termination), but not this Agreement or the obligation to make the Structured Payments herein; and/or (y) prepay all of the remaining Structured Payments at any time in one lump sum payment without penalty, liability or obligations (including any ""make- whole"" obligation or Close-Out Costs (as such term is defined in the Build Addendum))",discretion immediately terminate maintenance addendum without liability obligation payment maintenance fee maintenance service perform prior date termination not agreement obligation structured payment prepay remain structured payment time lump sum payment without penalty liability obligation include obligation close cost term define build addendum,82,42,spacy_sentence,Critical,0.975,0.0,1.0,0.0,0,0,1
C00037,"Array_BioPharma_Inc._-_LICENSE,_DEVELOPMENT_AND_CO",legal,"1.49 ""Pricing and Reimbursement Approval"" means, with respect to any country or jurisdiction in the Ono Territory in which Governmental Authorities determine the pricing at which the Product will be reimbursed, the approval, agreement, determination or decision by the applicable Governmental Authorities establishing the pricing and reimbursement status for the Product",49 pricing reimbursement approval mean respect country jurisdiction ono territory governmental authority determine pricing product will reimburse approval agreement determination decision applicable governmental authority establish pricing reimbursement status product,51,29,spacy_sentence,Critical,0.875,0.8,1.0,0.0,0,1,1
C00038,ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION_AGREEME,legal,"As used herein, the terms set forth below shall be defined as follows",term set forth shall define follow,13,6,paragraph,High,0.65,0.9,0.85,0.0,0,1,1
C00039,stanford_honor_code,academic,"However, you are also not allowed to create outlines together or ""prepare"" your answers in some other way once the exam has been distributed",not allow create outline prepare answer way exam distribute,24,9,spacy_sentence,Medium,0.35,0.0,0.0,0.0,1,0,0
C00040,"Array_BioPharma_Inc._-_LICENSE,_DEVELOPMENT_AND_CO",legal,"1.61 ""Valid Claim"" means a claim of an issued and unexpired Patent (including the term of any patent term extension, supplemental protection certificate, renewal or other extension) which has not been held unpatentable, invalid or unenforceable in a final decision of a court or other government agency of competent jurisdiction from which no appeal may be or has been taken, and which has not been admitted to be invalid or unenforceable through reissue, re-examination, disclaimer or otherwise",61 valid claim mean claim issued unexpired patent include term patent term extension supplemental protection certificate renewal extension not hold unpatentable invalid unenforceable final decision court government agency competent jurisdiction no appeal may take not admit invalid unenforceable reissue examination disclaimer,77,41,spacy_sentence,Low,0.0112,0.3,0.0,0.0,0,0,0
C00041,BIOFRONTERAAG_04_29_2019-EX-4.17-SUPPLY_AGREEMENT,legal,"2.6.2 In the event of a conflict between the test results of Supplier and the test results of CUTANEA with respect to any shipment of Product batch, within thirty (30) days following receipt by Supplier of CUTANEA's notice of rejection, sample of such Product batch shall be submitted by Supplier (and/or its nominee) to an independent laboratory designated by Supplier (and/or its nominee) and reasonably acceptable to CUTANEA, which shall perform an assessment and whose findings shall be conclusive",event conflict test result supplier test result cutanea respect shipment product batch thirty 30 day follow receipt supplier cutanea notice rejection sample product batch shall submit supplier nominee independent laboratory designate supplier nominee reasonably acceptable cutanea shall perform assessment finding shall conclusive,79,42,spacy_sentence,Medium,0.4375,0.9,0.0,0.85,0,3,0
C00042,BIOFRONTERAAG_04_29_2019-EX-4.17-SUPPLY_AGREEMENT,legal,"This Agreement is and will remain a valid and binding obligation of CUTANEA, enforceable in accordance with its terms, subject to laws of general application relating to bankruptcy, insolvency and the relief of debtors",agreement will remain valid binding obligation cutanea enforceable accordance term subject law general application relate bankruptcy insolvency relief debtor,34,19,spacy_sentence,High,0.65,0.8,0.45,0.0,0,1,0
C00043,"BELLRINGBRANDS,INC_02_07_2020-EX-10.18-MASTER_SUPP",legal,"2.3 Supplier will notify PNC immediately, by person-to-person voice communication or equivalent means, if any of the Ingredients contain, or are reasonably suspected to contain, material hazardous to human health, including but not limited to, chemical, physical or biological hazards",supplier will notify pnc immediately person person voice communication equivalent mean ingredient contain reasonably suspect contain material hazardous human health include not limit chemical physical biological hazard,40,27,paragraph,Low,0.039,0.8,0.0,0.0,0,1,0
C00044,oxford_plagiarism,academic,"Avoiding plagiarism is not simply a matter of making sure your references are all correct, or changing enough words so the examiner will not notice your paraphrase; it is about deploying your academic skills to make your work as good as it can be",avoid plagiarism not simply matter make sure reference correct change word examiner will not notice paraphrase deploy academic skill work good,44,21,spacy_sentence,Critical,0.775,0.8,0.0,0.0,0,1,0
C00045,AIRTECHINTERNATIONALGROUPINC_05_08_2000-EX-10.4-FR,legal,"E. You shall execute a general release in a form prescribed by AIRSOPURE releasing AIRSOPURE and its affiliates, directors, officers, employees and agents from all known and unknown claims and liabilities to the extent permitted by state and federal law",shall execute general release form prescribe airsopure release airsopure affiliate director officer employee agent known unknown claim liability extent permit state federal law,40,23,paragraph,Low,0.0338,0.9,0.0,0.0,0,1,0
C00046,AimmuneTherapeuticsInc_20200205_8-K_EX-10.3_119671,legal,"For Net Sales of a Combination Product, the Net Sales applicable to such Combination Product in a country will be determined by multiplying the total Net Sales of such combined product by the fraction A/(A+B), where A is the actual price of the Product that is included in such Combination Product in the same dosage amount or quantities in the applicable country during the applicable quarter if sold separately, and B is the sum of the actual prices of all other products with which such Product is combined in such Combination Product, in the same dosage amount or quantities in the applicable country during the applicable quarter if sold separately",net sale combination product net sale applicable combination product country will determine multiply total net sale combined product fraction actual price product include combination product dosage quantity applicable country applicable quarter sell separately sum actual price product product combine combination product dosage quantity applicable country applicable quarter sell separately,110,49,spacy_sentence,Low,0.03,0.8,0.0,0.0,0,1,0
C00047,opm_conduct_policy,hr,"The alternative methods to traditional, formal dispute resolution include mediation, fact-finding, ombudsing, interest-based negotiation, arbitration, and alternative discipline",alternative method traditional formal dispute resolution include mediation fact find ombudse interest base negotiation arbitration alternative discipline,18,17,spacy_sentence,High,0.6375,0.0,0.0,0.0,0,0,0
C00048,ANIXABIOSCIENCESINC_06_09_2020-EX-10.1-COLLABORATI,legal,"4.1 Term. Unless earlier terminated in accordance with Section 4.2 or 4.3, this Agreement will be in effect from the Effective Date until completion of the Research Program",term unless early terminate accordance section agreement will effect effective date completion research program,28,14,paragraph,Critical,0.9125,0.8,0.0,0.5,0,1,0
C00049,"BELLRINGBRANDS,INC_02_07_2020-EX-10.18-MASTER_SUPP",legal,"Supplier, in its sole discretion, will make a determination of the necessity of a recall, market withdrawal, inventory retrieval or other action designed to prevent the distribution or sale of the Ingredients",supplier sole discretion will determination necessity recall market withdrawal inventory retrieval action design prevent distribution sale ingredient,32,17,spacy_sentence,Critical,0.875,0.8,1.0,0.0,0,1,1
C00050,opm_conduct_policy,hr,An individual must receive full procedural and appeal rights if he or she is,individual must receive procedural appeal right,14,6,spacy_sentence,Low,0.0338,0.9,0.0,0.0,0,1,0
C00051,"Antares_Pharma,_Inc._-_Manufacturing_Agreement",legal,"WHEREAS, AMAG (as the permitted assignee of the Development and License Agreement) and Antares agreed under the Development and License Agreement to enter into this Agreement and, whereby it will provide Antares or its Subcontractor (defined below) with Prefilled Syringes (defined below) containing the Drug and Antares or it Subcontractor will incorporate the Prefilled Syringes into Devices to produce finished Products (defined below) and sample Products to supply AMAG's requirements for such Products and sample Products; and",amag permit assignee development license agreement antare agree development license agreement enter agreement will provide antare subcontractor define prefille syrinx define contain drug antare subcontractor will incorporate prefille syrinx device produce finished product define sample product supply amag requirement product sample product,77,42,spacy_sentence,High,0.625,0.8,0.85,0.0,0,2,1
C00052,oxford_plagiarism,academic,"Inaccurate citation It is important to cite correctly, according to the conventions of your discipline",inaccurate citation important cite correctly accord convention discipline,15,8,spacy_sentence,Low,0.0,0.0,0.0,0.0,0,0,0
C00053,AMERICASSHOPPINGMALLINC_12_10_1999-EX-10.2-SITE_DE,legal,No waiver of any breach of any provisions of this Agreement shall be effective unless set forth in writing and executed by the Party against which enforcement of such waiver is sought; and no waiver of any such breach shall be construed or deemed to be a waiver of any other or subsequent breach,no waiver breach provision agreement shall effective unless set forth writing execute party enforcement waiver seek no waiver breach shall construe deem waiver subsequent breach,54,25,spacy_sentence,Critical,0.875,0.9,0.8,1.0,0,2,1
C00054,ACCURAYINC_09_01_2010-EX-10.31-DISTRIBUTOR_AGREEME,legal,"Counterparts. This Agreement may be executed in counterparts, each of which will be deemed an original, but all of which together will constitute one and the same instrument. SIGNATURE PAGE FOLLOWS 22",counterpart agreement may execute counterpart will deem original will constitute instrument signature page follow 22,32,15,numbered_clause,High,0.5,0.8,0.0,0.8,0,2,0
C00055,AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.1,legal,"e. Notwithstanding any termination of this Agreement, any Approved Content that includes Zynga's Licensed Property may remain in perpetuity in any media in which such Licensed Property was integrated into during the Term (e.g., televised WPT Tournaments or WPT Invitational Tournaments, social media posts, repurposed integrations for ""best of"" television programs) or for historical purposes (e.g., reference on WPT's website that Zynga-sponsored tour events took place as part of the tour). f. Sections 1, 3-7, and 8-10 of the Additional Provisions shall survive termination or expiration of this Agreement",notwithstanding termination agreement approve content include zynga licensed property may remain perpetuity medium licensed property integrate term televise wpt tournament wpt invitational tournament social medium post repurpose integration good television program historical purpose reference wpt website zynga sponsor tour event take place tour section 10 additional provision shall survive termination expiration agreement,89,52,numbered_clause,Critical,0.8625,0.9,1.0,0.0,0,1,1
C00056,ASPIRITYHOLDINGSLLC_05_07_2012-EX-10.6-OUTSOURCING,legal,"On the basis of the representations, warranties and agreements herein contained, and subject to the terms, conditions and covenants set forth herein during the term of this Agreement, the Company retains the Contractor to perform the tasks specified herein on behalf of the Company related to servicing of the Notes, in each case, under the Renewable Note Program upon the terms and conditions set forth herein, including, without limitation, compliance and conformity with Accepted Note Practices and Governmental Rules, and the Contractor agrees to use its best efforts perform such tasks until the later of the termination of the Offering or the sale of all of the Notes, or until the termination of this Agreement, if earlier",basis representation warranty agreement contain subject term condition covenant set forth term agreement company retain contractor perform task specify behalf company relate servicing note case renewable note program term condition set forth include without limitation compliance conformity accept note practice governmental rule contractor agree use good effort perform task later termination offering sale note termination agreement early,117,57,spacy_sentence,Critical,0.875,0.0,1.0,0.0,0,0,1
C00057,ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STR,legal,"2.8 MD Anderson and Adaptimmune shall comply with all applicable federal, state and local laws pertaining to confidentiality, consent and disclosure of all information or records obtained and reviewed in the course of the Study, and shall permit access to such information or records only as authorized by a relevant Study subject, the IRB, and as authorized by law",md anderson adaptimmune shall comply applicable federal state local law pertain confidentiality consent disclosure information record obtain review course study shall permit access information record only authorize relevant study subject irb authorize law,59,33,spacy_sentence,Medium,0.425,0.9,0.4,0.0,0,2,0
C00058,BIOFRONTERAAG_04_29_2019-EX-4.17-SUPPLY_AGREEMENT,legal,"In addition, Ferrer can make no representations or warranties regarding any possible future infringement of Supplier Patent by a Third Party nor guarantee that the Products do not infringe future patents and/or any intellectual property right of a Third Party",addition ferrer no representation warranty possible future infringement supplier patent party guarantee product not infringe future patent intellectual property right party,40,21,spacy_sentence,High,0.675,0.3,0.0,0.0,0,0,0
C00059,ASPIRITYHOLDINGSLLC_05_07_2012-EX-10.6-OUTSOURCING,legal,NPI must be stored in a secured format within all systems at both parties' location and any other locations where the data may reside,npi must store secure format system party location location datum may reside,24,12,spacy_sentence,Low,0.0338,0.9,0.0,0.0,0,1,0
C00060,harvard_integrity,academic,"Harvard faculty are invested in helping you celebrate your passions. You&#039;ll build close and enduring relationships with professors who challenge you to see with new eyes and serve as models of engaged, conscientious leadership",harvard faculty invest help celebrate passion 039 ll build close endure relationship professor challenge new eye serve model engage conscientious leadership,34,21,paragraph,Low,0.0,0.0,0.0,0.0,0,0,0
C00061,AURASYSTEMSINC_06_16_2010-EX-10.25-STRATEGIC_ALLIA,legal,Neither Party shall remove or deface any Trademark belonging to the other Party without such Party's prior written authorization,party shall remove deface trademark belong party without party prior write authorization,19,12,spacy_sentence,Low,0.0338,0.9,0.0,0.0,0,1,0
C00062,AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.3,legal,"10. Certain Material Covenants of Newegg 10.1 Newegg shall exercise the Sponsorship Rights in accordance with the terms of this Agreement. For the avoidance of doubt, Newegg shall not be entitled to use or exploit any of the Commercial Rights other than the Sponsorship Rights in any way except in accordance with this Agreement. 10.2 Newegg shall provide to Allied, at Newegg's cost and expense, all necessary materials including artwork of Newegg Marks in a format and within print deadlines reasonably specified by Allied in order for it to be reproduced under the control of Allied for the fulfilment of the Sponsorship Rights",10 certain material covenant newegg 10 newegg shall exercise sponsorship right accordance term agreement avoidance doubt newegg shall not entitle use exploit commercial right sponsorship right way except accordance agreement 10 newegg shall provide ally newegg cost expense necessary material include artwork newegg mark format print deadline reasonably specify ally order reproduce control ally fulfilment sponsorship right,103,57,numbered_clause,Critical,0.8875,0.9,0.0,0.85,1,3,0
C00063,AMERICASSHOPPINGMALLINC_12_10_1999-EX-10.2-SITE_DE,legal,HDI agrees that the costs of any such promotions shall be borne by HDI,hdi agree cost promotion shall bear hdi,14,7,spacy_sentence,Medium,0.325,0.9,0.0,0.0,0,1,0
C00064,BEYONDCOMCORP_08_03_2000-EX-10.2-CO-HOSTING_AGREEM,legal,"(ii) For all Taxes paid by Co-Host, Co-Host shall provide to NAI within forty-five (45) days after the end of any quarter, a certificate of tax payment documenting the payment and amount of the Taxes paid during the preceding quarter",ii taxis pay co host co host shall provide nai 45 day end quarter certificate tax payment document payment taxis pay precede quarter,40,23,paragraph,Low,0.0338,0.9,0.0,0.0,0,1,0
